20 92.86 77.38 66.67 92.86 77.38 66.67 92.86 77.38 66.67 92.86
25 100 50 50 100 50 50 100 50 50 100
30 60 50 54.29 60 50 54.29 60 50 54.29 60
35 27.14 48.57 12.86 27.14 48.57 12.86 27.14 48.57 12.86 27.14
40 0 44.29 7.14 0 44.29 7.14 0 44.29 7.14 0
45 0 0 0 0 0 0 0 0 0 0
50 0 0 0 0 0 0 0 0 0 0
55 0 0 0 0 0 0 0 0 0 0
