20 100 100 100 100 100 61.43 100 100 100 100 100 100 100 100 100 100 100 100 100 100
30 100 100 100 100 100 71.43 100 100 100 87.14 100 100 100 100 100 100 100 100 100 100
40 100 100 100 100 100 100 100 100 100 12.14 100 100 100 100 100 100 100 100 100 100
50 100 100 100 94.29 100 100 100 100 100 0 100 100 100 100 100 100 100 100 100 100
60 100 100 100 0 100 92.14 99.29 100 100 0 100 100 100 100 100 100 100 100 100 100
70 100 100 99.86 0 100 40 100 100 100 0 100 100 100 100 100 100 100 100 100 100
