20 100 100 100 100 100 100 100 100 100 100 100 64.28 100 100 100 91.67 100 100 100 100
30 100 57.14 96.43 100 100 100 100 100 100 100 100 49.29 100 100 100 88.1 100 100 100 81.43
40 100 93.33 100 100 100 100 100 80.71 100 97.86 99.29 5.71 100 100 100 59.29 100 100 100 50
50 100 84.44 100 100 100 74.29 100 39.29 100 31.43 100 0 100 100 100 30.71 100 100 100 12.14
60 100 80 100 93.51 100 47.86 100 0 100 0 100 0 100 67.86 100 0 100 60.71 100 0
70 100 83.93 100 50 100 40 100 0 100 0 100 0 100 0 100 0 100 0 100 0
