20 100 100 100 64.29 100 57.14 100 100 100 5.7 100 5.71 100 11.43 98.57 2.86 98.57 77.14 100 100
30 100 59.29 100 50 100 47.14 100 100 100 0 100 0 100 57.15 100 0 100 0 100 84.29
40 100 0 100 0 100 5 100 100 99.29 0 100 0 99.29 0 100 0 100 0 100 22.86
50 100 0 100 0 100 0 100 57.14 100 0 99.29 0 100 0 100 0 100 0 100 0
60 100 0 100 0 100 0 100 0 100 0 100 0 100 0 100 0 100 0 100 0
70 100 0 100 0 100 0 100 0 100 0 100 0 100 0 100 0 100 0 100 0
